province_name,period,income,province_id
Groningen,1995,1071.0,5
Groningen,1996,1088.0,5
Groningen,1997,1084.0,5
Groningen,1998,1161.0,5
Groningen,1999,1198.0,5
Groningen,2000,1215.0,5
Groningen,2001,1286.0,5
Friesland,1995,1582.0,3
Friesland,1996,1462.0,3
Friesland,1997,1362.0,3
Friesland,1998,1633.0,3
Friesland,1999,1677.0,3
Friesland,2000,1661.0,3
Friesland,2001,2002.0,3
Drenthe,1995,1004.0,1
Drenthe,1996,956.0,1
Drenthe,1997,1036.0,1
Drenthe,1998,1099.0,1
Drenthe,1999,1120.0,1
Drenthe,2000,1140.0,1
Drenthe,2001,1199.0,1
Overijssel,1995,1996.0,9
Overijssel,1996,2077.0,9
Overijssel,1997,2345.0,9
Overijssel,1998,2282.0,9
Overijssel,1999,2499.0,9
Overijssel,2000,2568.0,9
Overijssel,2001,2484.0,9
Flevoland,1995,764.0,2
Flevoland,1996,678.0,2
Flevoland,1997,605.0,2
Flevoland,1998,791.0,2
Flevoland,1999,957.0,2
Flevoland,2000,794.0,2
Flevoland,2001,914.0,2
Gelderland,1995,3805.0,4
Gelderland,1996,3695.0,4
Gelderland,1997,4179.0,4
Gelderland,1998,3976.0,4
Gelderland,1999,4177.0,4
Gelderland,2000,4393.0,4
Gelderland,2001,4822.0,4
Utrecht,1995,2110.0,10
Utrecht,1996,2052.0,10
Utrecht,1997,2385.0,10
Utrecht,1998,2490.0,10
Utrecht,1999,2478.0,10
Utrecht,2000,2509.0,10
Utrecht,2001,2606.0,10
Noord-Holland,1995,4939.0,8
Noord-Holland,1996,4719.0,8
Noord-Holland,1997,5061.0,8
Noord-Holland,1998,5477.0,8
Noord-Holland,1999,5785.0,8
Noord-Holland,2000,6050.0,8
Noord-Holland,2001,6333.0,8
Zuid-Holland,1995,6059.0,12
Zuid-Holland,1996,6106.0,12
Zuid-Holland,1997,6707.0,12
Zuid-Holland,1998,7210.0,12
Zuid-Holland,1999,7304.0,12
Zuid-Holland,2000,6997.0,12
Zuid-Holland,2001,7479.0,12
Zeeland,1995,768.0,11
Zeeland,1996,890.0,11
Zeeland,1997,902.0,11
Zeeland,1998,1053.0,11
Zeeland,1999,868.0,11
Zeeland,2000,983.0,11
Zeeland,2001,984.0,11
Noord-Brabant,1995,4632.0,7
Noord-Brabant,1996,5175.0,7
Noord-Brabant,1997,5107.0,7
Noord-Brabant,1998,5048.0,7
Noord-Brabant,1999,4842.0,7
Noord-Brabant,2000,6307.0,7
Noord-Brabant,2001,6505.0,7
Limburg,1995,2241.0,6
Limburg,1996,2639.0,6
Limburg,1997,2680.0,6
Limburg,1998,2737.0,6
Limburg,1999,2817.0,6
Limburg,2000,2595.0,6
Limburg,2001,2902.0,6
